STOP_NAME,LATITUDE,LONGITUDE
강서구청역,35.2113136,128.9796132
강서구청역,35.2111847,128.980946
강서구청역,35.21087515,128.9804228
부산교도소,35.21595792,128.9515368
중리1구꽃동네,35.21834594,128.9554389
평강,35.2144553,128.9497594
평강농협,35.21307399,128.94766
평강역,35.21393008,128.9498619
평강,35.21392461,128.9503265
평강대리1구,35.2082728,128.9428356
평강대리,35.20986201,128.9431782
강서해수랜드,35.19785066,128.9259321
덕계,35.19160005,128.9228558
신덕신천마을,35.19551833,128.9246914
공항상회,35.20220397,128.9410853
칠점입구,35.19844752,128.9399654
평강사리마을입구,35.20549785,128.9425617
울만신평 하리,35.19691138,128.9320003
시만,35.21474525,128.914087
식만,35.21035284,128.9103662
용등,35.20170739,128.9026178
시만교,35.2167128,128.916253
식만교,35.21278493,128.9116146
금호오리마을,35.15619498,128.9554918
신평마을,35.18484925,128.9251416
성심정미소,35.17549447,128.9232401
입소마을회관,35.17692259,128.9229809
공항기숙사후문,35.17977005,128.9244811
신평마을회관,35.18697995,128.926155
설만마을회관,35.17471131,128.9277238
동신에프에이,35.1750072,128.9242042
신진화이너스,35.17472119,128.925756
상곡정미소,35.17668377,128.9165683
현대슈퍼,35.18150907,128.9188139
득천사거리,35.18915788,128.9216121
득천,35.18409801,128.9197293
강동119안전센터,35.17508909,128.9158461
용적사입구,35.13678458,128.8848009
가달,35.13976964,128.877111
생곡마을,35.13832985,128.8803575
가달,35.13987627,128.8769203
생곡입구,35.13838375,128.880214
둔치도입구,35.16385663,128.8931568
생곡삼거리,35.1366045,128.8853562
사구,35.15862101,128.8860802
조만포,35.16213665,128.8893289
둔치도입구,35.16316005,128.8927484
사구,35.15906545,128.8857404
범방주유소,35.15632815,128.8846853
사구,35.15880172,128.8856319
세산초등학교,35.14292851,128.8733128
세산초등학교,35.143536,128.872687
가동마을,35.16695065,128.8819647
가동마을입구,35.16525536,128.8848073
중신입구,35.097725,128.911077
포니상회,35.096025,128.908022
중신뚝길,35.095307,128.904455
중흥프라디움,35.09832145,128.9155364
중흥S클래스프라디움,35.09832318,128.9154268
한국토지주택공사,35.09919657,128.9106224
지사산단입구,35.13603571,128.8585943
명동,35.14403721,128.8455149
명동,35.14411266,128.8454857
동양메이져,35.13973996,128.8487274
명동,35.14449243,128.8446949
명동,35.14438069,128.8447512
명동,35.145418,128.842607
동화엔텍,35.14912728,128.8366291
동화엔텍,35.14876541,128.8364235
동화엔텍,35.14912407,128.8365413
자동차부품단지,35.14910232,128.8335179
금강.협성아파트,35.14978936,128.8362024
협성DS엘리시안,35.14988625,128.8362018
금강.협성아파트,35.15042858,128.8359479
협성DS엘리시안,35.15036314,128.8359546
지사휴먼시아아파트,35.15081784,128.8348348
지사휴먼시아아파트,35.15081495,128.8349827
지사휴먼시아아파트,35.15056373,128.8343133
지사휴먼시아아파트,35.15056348,128.8341895
지사문화회관,35.15078546,128.8312734
지사문화회관,35.1506097,128.8312749
에스피엘,35.15080597,128.8249893
이원솔루텍,35.1485496,128.8305869
이원솔루텍,35.14827747,128.8308496
이원솔루텍,35.1487887,128.8310147
이원솔루텍,35.14905192,128.8302909
이원솔루텍,35.14906434,128.830368
자동차부품복지관,35.14640344,128.8303742
자동차부품복지관,35.14625607,128.8305848
테크노파크입구,35.14453237,128.8285055
자동차부품복지관,35.14588086,128.8299181
테크노파크입구,35.14448365,128.8284495
자동차부품복지관,35.14575675,128.8300799
테크노파크입구,35.14435878,128.8286607
테크노파크입구,35.14395969,128.8282348
스파쇼핑,35.21826649,129.0835459
온천장,35.21907751,129.0819488
(구)온천극장,35.21902768,129.0820251
금강원입구,35.22024676,129.0804751
온천시장,35.22133276,129.0808718
금강원입구,35.21797624,129.079031
금강공원입구,35.21834467,129.0792577
국제파크아파트,35.20515312,129.0999494
조양아파트,35.20601982,129.1006544
화목아파트,35.20366846,129.0987979
화목아파트,35.20340187,129.0983576
충렬사후문,35.20109091,129.0975142
서원시장,35.20036771,129.1002812
삼성아파트,35.19974339,129.1029464
1080안경점,35.20023131,129.1008703
삼성아파트,35.19976127,129.1028675
서원시장,35.200891,129.0990222
안락경동아파트,35.19232381,129.1053983
동부산아이존빌아파트,35.19248234,129.1050616
안락경동아파트,35.19189373,129.1061334
안남초등학교,35.19198315,129.1076063
안남초등학교,35.1918176,129.1075223
우장춘기념관,35.21264379,129.0716091
우장춘기념관,35.2124688,129.072522
우장춘기념관,35.21231883,129.0719455
온샘초등학교,35.20963817,129.0701688
대동아파트,35.21148973,129.0666812
래미안101동,35.21218214,129.0686859
래미안104동,35.21213452,129.0702929
래미안4단지,35.21199497,129.0676535
동래래미안아이파크,35.21136042,129.0708286
효자암,35.21589193,129.0666713
만덕터널입구,35.21220346,129.0578182
대동아파트,35.2113638,129.066704
래미안209동,35.21209734,129.0693636
래미안201동,35.21187669,129.0677218
화신아파트,35.21064652,129.0652323
삼협아파트,35.2100364,129.0645985
화신아파트,35.21071025,129.065315
화신아파트,35.21150611,129.0659496
화신아파트,35.19821456,129.0750535
대선주조,35.19661496,129.0720732
부산교육대학교후문,35.19696221,129.0729708
화신아파트,35.19848368,129.0750032
경보아파트,35.20732296,129.0627453
달북초등학교,35.20360755,129.0610472
동서산장아파트,35.20864407,129.0636398
삼정그린코아포레스트,35.20437504,129.0617899
경보아파트,35.20740397,129.0630473
달북초등학교,35.20351412,129.0612832
미남교,35.20880727,129.0640245
삼정그린코아포레스트,35.2043589,129.0620816
달북초등학교,35.20260912,129.0601005
사직초등학교앞교차로,35.20117052,129.0564198
사직고등학교,35.2019109,129.0593894
온천중학교,35.20340144,129.059273
온천초등학교,35.21197426,129.0732821
롯데백화점동래점,35.2101971,129.0778307
롯데백화점동래점,35.21029309,129.077841
롯데백화점동래점남문,35.21082939,129.0776538
롯데백화점동래점,35.21363606,129.0770179
원예고등학교,35.21375416,129.0754154
우장춘기념관,35.21288534,129.0730984
유락여자중학교,35.21411501,129.0763469
유락여자중학교,35.21387362,129.0762788
온천초등학교,35.2118109,129.0730189
우장춘기념관,35.21247892,129.0719199
동래래미안아이파크,35.21071874,129.0736002
럭키아파트후문,35.20987713,129.0754593
럭키동래아파트후문,35.2093999,129.076852
사랑의집,35.21009032,129.07469
동래래미안아이파크,35.2101696,129.0731147
럭키아파트,35.20847837,129.0728207
우리은행온천점,35.21009075,129.0730869
럭키아파트,35.20838319,129.0731009
동래럭키아파트,35.2060157,129.0738019
광혜병원,35.20642477,129.0727933
럭키주유소,35.2091947,129.077581
동래럭키아파트후문,35.20943383,129.0775006
사랑의집,35.21004899,129.0755234
안락뜨란채삼거리,35.19505518,129.109835
부산원동역,35.19455064,129.1126707
세병교,35.19748078,129.0839482
혜화여자중학교,35.20481028,129.1099991
명장시장,35.20472168,129.1074635
SK뷰아파트101동,35.20445948,129.1127286
우방일동아파트,35.20425598,129.1158
협진태양맨션,35.21001727,129.1047621
식물원입구,35.22408048,129.0821554
