STATION_NAME,LINE_NAME,LATITUDE,LONGITUDE
다대포해수욕장,부산 도시철도 1호선,35.048229,128.965919
다대포항,부산 도시철도 1호선,35.057288,128.971151
낫개,부산 도시철도 1호선,35.065179,128.979702
신장림,부산 도시철도 1호선,35.074222,128.976538
장림,부산 도시철도 1호선,35.081555,128.9773083
동매,부산 도시철도 1호선,35.089819,128.974029
신평,부산 도시철도 1호선,35.09556,128.96056
하단,부산 도시철도 1호선,35.10611,128.96667
당리,부산 도시철도 1호선,35.10333,128.97417
사하,부산 도시철도 1호선,35.09972,128.98333
괴정,부산 도시철도 1호선,35.1,128.9925
대티,부산 도시철도 1호선,35.10306,128.99972
서대신,부산 도시철도 1호선,35.11083,129.01194
동대신,부산 도시철도 1호선,35.11056,129.01757
토성,부산 도시철도 1호선,35.10083,129.01972
자갈치,부산 도시철도 1호선,35.0975,129.02694
남포,부산 도시철도 1호선,35.09778,129.03472
중앙,부산 도시철도 1호선,35.10389,129.03639
부산역,부산 도시철도 1호선,35.11528,129.03972
초량,부산 도시철도 1호선,35.12111,129.04296
부산진,부산 도시철도 1호선,35.12778,129.04778
좌천,부산 도시철도 1호선,35.13417,129.05417
범일,부산 도시철도 1호선,35.14139,129.05944
범내골,부산 도시철도 1호선,35.14722,129.05917
서면,부산 도시철도 1호선,35.15778,129.05917
부전,부산 도시철도 1호선,35.1625,129.06278
양정,부산 도시철도 1호선,35.17304,129.07119
시청(연제),부산 도시철도 1호선,35.17972,129.07667
연산,부산 도시철도 1호선,35.18611,129.08167
교대,부산 도시철도 1호선,35.19583,129.08
동래,부산 도시철도 1호선,35.20556,129.078461
명륜,부산 도시철도 1호선,35.21222,129.07944
온천장,부산 도시철도 1호선,35.22056,129.08667
부산대,부산 도시철도 1호선,35.23,129.08944
장전,부산 도시철도 1호선,35.23806,129.08806
구서,부산 도시철도 1호선,35.247407,129.091327
두실,부산 도시철도 1호선,35.25694,129.09139
남산,부산 도시철도 1호선,35.26528,129.0925
범어사,부산 도시철도 1호선,35.27333,129.09268
노포,부산 도시철도 1호선,35.28361,129.095
장산,부산 도시철도 2호선,35.17,129.17694
중동,부산 도시철도 2호선,35.16669,129.16887
해운대,부산 도시철도 2호선,35.163518,129.158584
동백,부산 도시철도 2호선,35.16147,129.147887
벡스코,부산 도시철도 2호선,35.16911,129.138431
센텀시티,부산 도시철도 2호선,35.16892,129.131764
민락,부산 도시철도 2호선,35.16722,129.121878
수영,부산 도시철도 2호선,35.16578,129.114842
광안,부산 도시철도 2호선,35.15792,129.113197
금련산,부산 도시철도 2호선,35.14989,129.111008
남천,부산 도시철도 2호선,35.14217,129.10797
경성대·부경대,부산 도시철도 2호선,35.13757,129.10055
대연,부산 도시철도 2호선,35.13512,129.09218
못골,부산 도시철도 2호선,35.13472,129.08442
지게골,부산 도시철도 2호선,35.13558,129.07436
문현,부산 도시철도 2호선,35.13911,129.06736
국제금융센터·부산은행,부산 도시철도 2호선,35.14583,129.06672
전포,부산 도시철도 2호선,35.15311,129.06533
서면,부산 도시철도 2호선,35.15768,129.058517
부암,부산 도시철도 2호선,35.15744,129.05019
가야,부산 도시철도 2호선,35.15589,129.04283
동의대,부산 도시철도 2호선,35.15411,129.0325
개금,부산 도시철도 2호선,35.15325,129.02056
냉정,부산 도시철도 2호선,35.15125,129.01228
주례,부산 도시철도 2호선,35.1505,129.00306
감전,부산 도시철도 2호선,35.15553,128.99114
사상,부산 도시철도 2호선,35.16218,128.98467
덕포,부산 도시철도 2호선,35.17378,128.98394
모덕,부산 도시철도 2호선,35.18036,128.98561
모라,부산 도시철도 2호선,35.18967,128.98864
구남,부산 도시철도 2호선,35.19681,128.99492
구명,부산 도시철도 2호선,35.20253,128.99931
덕천,부산 도시철도 2호선,35.21011,129.00533
수정,부산 도시철도 2호선,35.22336,129.00922
화명,부산 도시철도 2호선,35.23585,129.01387
율리,부산 도시철도 2호선,35.24672,129.01292
동원,부산 도시철도 2호선,35.25864,129.01242
금곡,부산 도시철도 2호선,35.26733,129.01686
호포,부산 도시철도 2호선,35.281,129.017525
증산,부산 도시철도 2호선,35.30828,129.01028
부산대양산캠퍼스,부산 도시철도 2호선,35.31697,129.01383
남양산,부산 도시철도 2호선,35.32533,129.01942
양산,부산 도시철도 2호선,35.33851,129.02643
수영,부산 도시철도 3호선,35.16775,129.11458
망미,부산 도시철도 3호선,35.17153,129.10822
배산,부산 도시철도 3호선,35.1735,129.0955
물만골,부산 도시철도 3호선,35.17681,129.08575
연산,부산 도시철도 3호선,35.18614,129.08147
거제,부산 도시철도 3호선,35.18858,129.07394
종합운동장,부산 도시철도 3호선,35.19125,129.0675
사직,부산 도시철도 3호선,35.199,129.065
미남,부산 도시철도 3호선,35.2055,129.06806
만덕,부산 도시철도 3호선,35.213,129.0365
